,movie_names,ratings,voting_counts,duration_minutes,genre
0,Gladiator II,6.5,249000,148,adventure
1,Venom: The Last Dance,6.0,128000,110,adventure
2,Dune: Part Two,8.5,639000,166,adventure
3,Twisters,6.5,175000,122,adventure
4,Deadpool & Wolverine,7.5,505000,128,adventure
5,Kraven the Hunter,5.5,62000,127,adventure
6,Freaky Tales,6.2,6900,107,adventure
7,Moana 2,6.6,108000,100,adventure
8,Flow,7.9,83000,85,adventure
9,Mufasa: The Lion King,6.6,70000,118,adventure
10,Furiosa: A Mad Max Saga,7.5,290000,148,adventure
11,The Count of Monte-Cristo,7.6,37000,178,adventure
12,Sonic the Hedgehog 3,6.9,64000,110,adventure
13,Paddington in Peru,6.7,25000,106,adventure
14,The Unholy Trinity,6.7,115,95,adventure
15,Transformers One,7.6,54000,104,adventure
16,Ghostbusters: Frozen Empire,6.1,95000,115,adventure
17,Inside Out 2,7.5,221000,96,adventure
18,Borderlands,4.7,50000,101,adventure
19,Despicable Me 4,6.2,68000,94,adventure
20,The Return,6.2,10000,116,adventure
21,Bad Boys: Ride or Die,6.5,102000,115,adventure
22,The Lord of the Rings: The War of the Rohirrim,6.3,33000,134,adventure
23,Kingdom of the Planet of the Apes,6.8,154000,145,adventure
24,Godzilla x Kong: The New Empire,6.0,124000,115,adventure
25,Damsel,6.1,111000,110,adventure
26,Kung Fu Panda 4,6.3,70000,94,adventure
27,Red One,6.3,142000,123,adventure
28,The Day the Earth Blew Up: A Looney Tunes Movie,6.9,5300,91,adventure
29,Uglies,4.7,34000,100,adventure
30,Attack on Titan the Movie: The Last Attack,9.2,17000,145,adventure
31,Spaceman,5.7,44000,107,adventure
32,Kalki 2898 AD,7.0,68000,180,adventure
33,Solo Leveling: ReAwakening,8.8,14000,121,adventure
34,Survive,4.6,3000,90,adventure
35,Lost on a Mountain in Maine,6.1,1500,98,adventure
36,Harold and the Purple Crayon,5.7,8800,90,adventure
37,Wallace & Gromit: Vengeance Most Fowl,7.5,36000,82,adventure
38,Atlas,5.6,57000,118,adventure
39,The Garfield Movie,5.7,25000,101,adventure
40,Sunlight,7.6,30,96,adventure
41,Arthur the King,7.0,35000,107,adventure
42,Monster Summer,5.7,4000,97,adventure
43,Rebel Moon - Part Two: The Scargiver,5.3,60000,122,adventure
44,Spellbound,5.5,7800,109,adventure
45,My Penguin Friend,6.8,5700,97,adventure
46,Descendants: The Rise of Red,4.7,7200,91,adventure
47,Orion and the Dark,6.3,18000,93,adventure
48,Sketch,8.3,66,92,adventure
49,Badland Hunters,5.9,13000,107,adventure
50,No Way Up,4.6,11000,90,adventure
51,River of Blood,5.0,1900,86,adventure
52,The Goat Life,7.1,48000,173,adventure
53,Bookworm,6.0,2000,103,adventure
54,Sasquatch Sunset,5.4,5600,88,adventure
55,Doraemon the Movie: Nobita's Earth Symphony,6.6,1600,115,adventure
56,Winner,6.5,2600,103,adventure
57,Night of the Zoopocalypse,6.0,888,91,adventure
58,Manjummel Boys,8.2,28000,135,adventure
59,Justice League: Crisis on Infinite Earths - Part One,6.2,8700,93,adventure
60,Family Pack,5.5,9500,94,adventure
61,That Christmas,6.8,17000,91,adventure
62,Overlord: The Sacred Kingdom,6.9,1400,135,adventure
63,Crayon Shin-chan: Our Dinosaur Diary,6.6,587,106,adventure
64,"I, the Executioner",6.3,2000,118,adventure
65,Escape from the 21st Century,6.4,1000,98,adventure
66,Saint-Exupéry,5.4,484,98,adventure
67,Dragonkeeper,5.7,1800,98,adventure
68,Something in the Water,4.1,5000,86,adventure
69,Justice League: Crisis on Infinite Earths - Part Three,6.1,4700,94,adventure
70,Thelma the Unicorn,5.7,3000,93,adventure
71,Megamind vs. The Doom Syndicate,2.5,5700,83,adventure
72,Cult Killer,4.8,2900,105,adventure
73,Hanu Man,7.7,29000,158,adventure
74,The Best Christmas Pageant Ever,6.8,6200,99,adventure
75,Justice League: Crisis on Infinite Earths - Part Two,5.6,5600,94,adventure
76,A Legend,4.7,1000,129,adventure
77,The Last Redemption,6.9,5200,122,adventure
78,Diving Into the Darkness,8.9,90,96,adventure
79,Ultraman: Rising,6.9,6500,117,adventure
80,Anaconda,4.9,662,84,adventure
81,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8800,104,adventure
82,Son's Will,7.4,1000,148,adventure
83,The Courier,6.0,4500,101,adventure
84,This Too Shall Pass,8.5,18,105,adventure
85,Escape,6.4,2200,94,adventure
86,My Hero Academia: You're Next,7.0,2600,110,adventure
87,The Empire,5.2,1300,110,adventure
88,200% Wolf,5.9,1300,98,adventure
89,Buffalo Kids,6.6,768,93,adventure
90,At Her Feet,7.2,51,100,adventure
91,The Wages of Fear,4.6,4200,104,adventure
92,My Oni Girl,6.0,1800,112,adventure
93,Kanguva,4.5,15000,152,adventure
94,Bureau 749,4.0,575,123,adventure
95,Seeds,5.0,219,82,adventure
96,Golden Kamuy,6.3,2600,127,adventure
97,Bambi: A Tale of Life in the Woods,5.6,239,78,adventure
98,No Chains No Masters,6.3,648,98,adventure
99,Cells at Work!,6.7,411,109,adventure
100,Thangalaan,6.5,6800,156,adventure
101,The Price of Money: A Largo Winch Adventure,5.1,1300,100,adventure
102,A.R.M,7.1,8900,150,adventure
103,Diplodocus,6.3,196,90,adventure
104,The Tiger's Apprentice,5.8,2200,84,adventure
105,Bade Miyan Chote Miyan,3.7,39000,163,adventure
106,The Twisters,2.6,389,86,adventure
107,The Kingdom,7.0,143,133,adventure
108,Sixty Minutes,5.7,5200,88,adventure
109,Marianengraben,7.3,93,87,adventure
110,Never Look Away,7.2,283,85,adventure
111,The Backrooms,8.2,15,63,adventure
112,Kalvan,5.6,989,142,adventure
113,The Mountain,6.6,164,89,adventure
114,Devil's Knight,5.3,960,90,adventure
115,Eat the Night,6.0,558,106,adventure
116,Chuck Billy and the Marvelous Guava Tree,7.4,1200,90,adventure
117,Hitpig,5.1,1100,86,adventure
118,Dalia and the Red Book,5.9,145,107,adventure
119,Meanwhile on Earth,6.0,950,89,adventure
120,Empire Queen: The Golden Age of Magic,3.2,229,148,adventure
121,Woody Woodpecker Goes to Camp,4.5,2600,100,adventure
122,Unspeakable: Beyond the Wall of Sleep,5.2,85,90,adventure
123,Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,4000,82,adventure
124,Kaizen,7.1,731,160,adventure
125,Five Friends,6.7,955,112,adventure
126,Robin and the Hoods,4.3,540,100,adventure
127,Gladiators,4.5,109,95,adventure
128,Autumn and the Black Jaguar,5.6,1000,100,adventure
129,A Sloth Story,5.6,231,90,adventure
130,Noah's Ark,4.3,697,96,adventure
131,Man and Witch: The Dance of a Thousand Steps,5.5,350,94,adventure
132,Rebellious,6.1,232,94,adventure
133,Angels Fallen: Warriors of Peace,4.8,5800,103,adventure
134,Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.3,39,90,adventure
135,Formed Police Unit,4.7,1400,120,adventure
136,Lumina,2.1,701,113,adventure
137,Operation Blood Hunt,3.4,510,93,adventure
138,The Last Ronin,4.9,591,115,adventure
139,Now or Never!,2.2,17000,0,adventure
140,The Firing Squad,5.1,5100,93,adventure
141,Panda Bear in Africa,5.5,369,84,adventure
142,Roadkill,3.7,693,90,adventure
143,Sam and Colby: The Legends of the Paranormal,4.8,314,98,adventure
144,Its Name Was Mormo,3.6,126,93,adventure
145,Operation: Raqqa,5.6,290,107,adventure
146,Bionic,4.3,1800,110,adventure
147,War of the Worlds: Extinction,3.0,213,84,adventure
148,No Time to Spy: A Loud House Movie,6.3,488,81,adventure
149,The Keepers of the 5 Kingdoms,4.0,228,109,adventure
150,Going Viral,8.3,300,90,adventure
151,Captain Miller,6.9,11000,157,adventure
152,Ayalaan,5.9,4000,155,adventure
153,Ice Maiden,8.6,83,90,adventure
154,Dongeng Sang Kancil,6.7,216,99,adventure
155,Pimpinero: Blood and Oil,5.6,571,121,adventure
156,Gaami,6.3,2100,147,adventure
157,Guest from the Future,6.0,1200,141,adventure
158,Witch Hunter,4.8,26,80,adventure
159,The Last of Us: Immunity,4.2,30,64,adventure
160,The Magician's Raincoat,5.0,128,0,adventure
161,The Lost Tiger,7.9,50,90,adventure
162,My Freaky Family,6.2,422,86,adventure
163,Barroz: Guardian of Treasures,3.4,1000,155,adventure
164,WWII: Operation Phoenix,5.8,98,106,adventure
165,Z-Mom,5.0,46,90,adventure
166,Seeking the King,6.0793103448275865,0,90,adventure
167,Seven Seas Seven Hills,8.5,94,90,adventure
168,School of Magical Animals 3,5.8,341,105,adventure
169,Big City Greens the Movie: Spacecation,6.2,569,83,adventure
170,Return to Wickensburg,5.1,57,88,adventure
171,Mobile Suit Gundam SEED Freedom,6.6,979,124,adventure
172,Storm Crashers,6.2,578,88,adventure
173,Little Emma,5.4,132,106,adventure
174,The Adventures of Jurassic Pet: Return to the Wild,5.5,76,90,adventure
175,Space Ranger,3.5,84,0,adventure
176,Elli and the Ghostly Ghost Train,5.1,109,86,adventure
177,Major Grom: The Game,6.1,1900,168,adventure
178,Road Wars: Max Fury,2.0,367,83,adventure
179,Un lío de millones,5.3,254,91,adventure
180,The Casagrandes Movie,5.6,688,89,adventure
181,Gracie and Pedro: Pets to the Rescue,5.0,287,87,adventure
182,Mong Vuot,5.0,170,96,adventure
183,The Waves of Madness,5.8,96,68,adventure
184,Spiders on a Plane,4.9,379,78,adventure
185,Taklee Genesis x Worlds Collide,5.4,428,146,adventure
186,Tanning Zone,6.0793103448275865,0,90,adventure
187,The Big Trip 3: Race Around the World,5.7,66,85,adventure
188,All for One,1.4,676,97,adventure
189,Rally Caps,5.5,143,100,adventure
190,Fox & Hare Save the Forest,5.9,216,71,adventure
191,The Traveller,5.2,213,134,adventure
192,Ghost Island,7.4,50,95,adventure
193,Chhota Bheem and the Curse of Damyaan,4.8,2300,145,adventure
194,Treasure Trackers,5.8,169,92,adventure
195,Teenz,4.4,867,122,adventure
196,My Redneck Neighbor: Chapter 2 - Let the Games Begin,6.6,9,55,adventure
197,The Blinkless,6.9,16,59,adventure
198,Earthquake Underground,3.3,202,83,adventure
199,Alpha.,6.9,259,100,adventure
200,I Heart Robots,4.6,2400,76,adventure
201,One Million Babes BC,2.2,88,75,adventure
202,Oculus,6.0,15,113,adventure
203,Stinky Summer,5.6,56,90,adventure
204,The Phantom Warrior,2.4,556,119,adventure
205,The Goat,5.9,386,91,adventure
206,Odio el verano,5.1,610,103,adventure
207,"Maya, donne-moi un titre",6.3,62,61,adventure
208,Era Oculta,6.0793103448275865,0,80,adventure
209,Dragon Ball Z Kai,8.6,83,82,adventure
210,Planetquake,3.0,319,85,adventure
211,Ahl Al Kahf,5.3,286,120,adventure
212,Gepack,6.6,370,97,adventure
213,A Trip Elsewhere,5.5,111,93,adventure
214,The Epidemic,5.9,71,95,adventure
215,Birds Flying East,5.8,598,100,adventure
216,Jathara,7.8,1100,129,adventure
217,Trifole,7.5,59,100,adventure
218,Naa Saami Ranga,4.5,1200,150,adventure
219,Niko: Beyond the Northern Lights,6.1,352,86,adventure
220,Dünya Varmis,6.6,68,100,adventure
221,Bull Shark 3,3.5,91,76,adventure
222,Jurassic Triangle,2.4,287,84,adventure
223,Warrior Awang and Master Tok Gajah,4.6,484,118,adventure
224,"Silex and the City, le film",4.9,54,77,adventure
225,Appu,8.5,188,92,adventure
226,Oro Negro,6.0793103448275865,0,90,adventure
227,Shrek 5: The Contract - A Fan Made Film,7.2,21,84,adventure
228,Game On,2.6,357,85,adventure
229,76 Days Adrift,6.0793103448275865,0,105,adventure
230,Tokusou Sentai Dekaranger 20th: Fireball Booster,7.2,36,50,adventure
231,Rocky Road to Berlin,7.2,1500,104,adventure
232,Buddy,3.8,357,137,adventure
233,My Fathers' Daughter,6.5,83,78,adventure
234,Vertical,5.2,147,111,adventure
235,Next to Us,4.8,229,125,adventure
236,Amazon Bullseye,5.2,218,113,adventure
237,Zak & Wowo: The Legend of Lendarys,5.7,102,85,adventure
238,Bremenskie muzykanty,4.6,694,115,adventure
239,Güzel Bir Rüya,4.6,48,79,adventure
240,Si Juki the Movie: Harta Pulau Monyet,6.0,128,107,adventure
241,I Left My Heart in Colombia,8.4,425,0,adventure
242,Death Game,6.3,26,88,adventure
243,Memes & Nightmares,5.7,92,81,adventure
244,Tapori Nayak,8.6,19,0,adventure
245,StarGazer: The Need of the Many,5.0,12,47,adventure
246,The Epic of Gilgamesh,6.0793103448275865,0,79,adventure
247,Peter Brook's the Mahabharata (8K),6.0793103448275865,0,173,adventure
248,Fuuto PI: Portrait of Kamen Rider Skull,7.4,49,82,adventure
249,Killer Witches from Outer Space,6.9,81,0,adventure
250,Poklad,4.5,46,100,adventure
251,Daye: Seret ahl el Daye,7.9,18,104,adventure
252,Il cammino: Viaggio in Calabria,9.7,6,58,adventure
253,Oscar Wilde About America,4.6,35,98,adventure
254,Spirit Riser,6.6,37,98,adventure
255,Dead Dead Demon's Dededede Destruction,7.1,149,120,adventure
256,Kodaikanal,9.2,71,173,adventure
257,Friendly Fire,6.1,68,105,adventure
258,Kvitebjørn,5.9,76,85,adventure
259,Duffle Bag Boy,6.8,60,0,adventure
260,Sentinelese,6.0793103448275865,0,90,adventure
261,Luigi's Mansion,6.2,19,60,adventure
262,Game of Death: The Six Doors to Hell,6.0793103448275865,0,145,adventure
263,Tulang Belulang Tulang,7.1,50,95,adventure
264,Håkan Bråkan 2,5.3,142,92,adventure
265,Goodbye Hamdi,6.6,12,85,adventure
266,Captain Avispa,5.7,180,96,adventure
267,Powder Pup,6.1,79,89,adventure
268,LasseMajas detektivbyrå - Maskoten som försvann,6.0,64,90,adventure
269,Letuchiy korabl,3.8,303,100,adventure
270,Transformers Prime: Galavatron's Revenge,4.5,16,104,adventure
271,Kade,6.3,17,92,adventure
272,Shadows of Betrayal: Chronicles of Ian Blair,7.5,14,65,adventure
273,Arctic Hollow,2.3,184,70,adventure
274,Champions of the Golden Valley,9.2,78,81,adventure
275,Troy the Bharat Putra,5.5,33,134,adventure
276,Family Vacation,6.6,6,0,adventure
277,Mr. Blue Shirt: The Inspiration,4.8,10,0,adventure
278,Steal the Naughty List,6.2,127,90,adventure
279,Benjamin Bat,7.8,33,75,adventure
280,Permafrost,5.7,115,80,adventure
281,The Slave and the Sorcerer,6.6,43,86,adventure
282,Finding Christmas,6.3,14,0,adventure
283,Dikkie Dik en de Verdwenen Knuffel,7.3,131,62,adventure
284,Cazatesoros,6.4,29,106,adventure
285,Fights Break Sphere 3,5.0,11,81,adventure
286,Tipppsy,8.1,33,115,adventure
287,Kiyma: Orman Kanunlari,3.9,40,81,adventure
288,STEVE (A Minecraft Movie),6.9,12,61,adventure
289,The Secret of Pin-Up Island,7.4,97,107,adventure
290,Masha i Medved v kino: Park chudes,7.4,18,58,adventure
291,The Trail,7.8,38,80,adventure
292,Uttarakaanda,6.0793103448275865,0,90,adventure
293,Satu - Year of the Rabbit,9.0,60,93,adventure
294,Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4,75,70,adventure
295,The Star City Murders,4.1,146,79,adventure
296,Yaren Leylek,5.4,37,95,adventure
297,Xibalba Monster,6.7,31,76,adventure
298,QAnon Avenue,10.0,7,57,adventure
299,Son of the Wolf,4.0,6,82,adventure
300,Nanoshark,5.6,22,0,adventure
301,Yolki 11,4.7,176,92,adventure
302,Shanghai Story,8.1,65,71,adventure
303,Rocky and Bullwinkle,9.2,16,100,adventure
304,The Yoshi Movie,7.9,14,105,adventure
305,Water Park,6.0793103448275865,0,25,adventure
306,Triple 7: They Said It Couldn't Be Done,8.5,14,97,adventure
307,Askepote,3.5,85,72,adventure
308,My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,6.4,10,74,adventure
309,Igrisca ne damo!,7.1,30,79,adventure
310,Lion King: A Tale of Mufasa,6.0793103448275865,0,90,adventure
311,Abudeka Is Back,5.4,41,120,adventure
312,Surge of Power: Where There's Smoke,5.9,14,68,adventure
313,Joachim and the Apocalypse,7.5,16,90,adventure
314,Molar,6.0793103448275865,0,117,adventure
315,Iron Dusk,5.2,20,0,adventure
316,Tri kota. Zimnie kanikuly,6.6,35,65,adventure
317,Hain,2.9,51,95,adventure
318,Hope & Glory,6.6,148,44,adventure
319,Die Chaosschwestern und Pinguin Paul,5.6,73,100,adventure
320,Orango,7.3,75,94,adventure
321,The Space in Between,6.0793103448275865,0,90,adventure
322,The Very Last Christmas,8.6,12,75,adventure
323,The Eye of the Salamander,8.4,21,81,adventure
324,Tales from the Table,6.0793103448275865,0,90,adventure
325,Samaya bolshaya luna,2.4,140,105,adventure
326,Stranded Pearl,6.0,27,90,adventure
327,Pui Pui Molcar the Movie: Molmax,7.0,9,69,adventure
